STATION,STATION ID,IMPERIAL,METRIC
"CONKLINGVILLE DAM, NY US",GHCND:USC00301708,0,0
"CONNELLSVILLE 2 SSW, PA US",GHCND:USC00361726,0,0
"CONSECON 1.9 NNW, CA",GHCND:CA1ON000874,0,0
"CONSHOHOCKEN, PA US",GHCND:USC00361737,0,0
"CONWAY 0.9 SW, MA US",GHCND:US1MAFR0010,0,0
"CONWAY 1.2 E, MA US",GHCND:US1MAFR0046,0,0
"CONWAY 2.9 NW, MA US",GHCND:US1MAFR0013,0,0
"COOPERSTOWN, NY US",GHCND:USC00301752,0,0
"COPIAGUE 0.4 ENE, NY US",GHCND:US1NYSF0062,0,0
"COPPER HILL, VA US",GHCND:USC00441999,0,0
"CORINTH, VT US",GHCND:USC00431565,0,0
"CORNISH 5.6 ESE, ME US",GHCND:US1MEYK0067,0,0
"CORNWALL, CA",GHCND:CA006101874,0,0
"CORNWALL, VT US",GHCND:USC00431580,0,0
"COUDERSPORT 7 SE, PA US",GHCND:USC00361810,0,0
"COVENTRY 0.3 NNE, CT US",GHCND:US1CTTL0040,0,0
"COVENTRY 1.2 SW, RI US",GHCND:US1RIKN0059,0,0
"COVENTRY 2, RI US",GHCND:USC00371875,0,0
"COVENTRY, RI US",GHCND:USC00371874,0,0
"COVINGTON 2 WSW, PA US",GHCND:USC00361833,0,0
"COVINGTON 4.1 E, VA US",GHCND:US1VAAL0003,0,0
"COVINGTON FILTER PLANT, VA US",GHCND:USC00442044,0,0
"CRAFTSBURY COMMON 0.8 NW, VT US",GHCND:US1VTOL0026,0,0
"CRANSTON 4.2 ENE, RI US",GHCND:US1RIPR0044,0,0
"CRESAPTOWN BEL AIR 0.9 SSE, MD US",GHCND:US1MDAL0002,0,0
"CROFTON 1.1 SSE, MD US",GHCND:US1MDAA0071,0,0
"CROZIER, VA US",GHCND:USC00442142,0,0
"CUMBERLAND 2, MD US",GHCND:USC00182282,0,0
"CUMBERLAND HILL 3.6 NNE, RI US",GHCND:US1RIPR0055,0,0
"CUYAHOGA FALLS 1.1 ESE, OH US",GHCND:US1OHSM0005,0,0
"CYLBURN, MD US",GHCND:USC00182308,0,0
"DALE ENTERPRISE, VA US",GHCND:USC00442208,0,0
"DAMASCUS 3 SSW, MD US",GHCND:USC00182336,0,0
"DANBURY, NC US",GHCND:USC00312238,0,0
"DANIELSON 3.2 ESE, CT US",GHCND:US1CTWN0026,0,0
"DANVERS 0.8 ESE, MA US",GHCND:US1MAES0041,0,0
"DANVERS 2.5 NNE, MA US",GHCND:US1MAES0071,0,0
"DANVILLE 2 SE, VA US",GHCND:USC00442245,0,0
"DARIEN 1.8 ENE, CT US",GHCND:US1CTFR0035,0,0
"DARLINGTON 0.3 ENE, SC US",GHCND:US1SCDR0033,0,0
"DARLINGTON 7.5 SSW, SC US",GHCND:US1SCDR0046,0,0
"DASHWOOD 7.4 W, CA",GHCND:CA1ON000075,0,0
"DAUPHIN 2.6 NNE, PA US",GHCND:US1PADP0032,0,0
